"Trade Date","ADVISOR / CLIENT","RR #","Symbol","B/S","Shares","Price","Commission","Comm./Shr. ($)"
"03/25/2013","ADAGE CAPITAL MGMT      ","030","JWN","B","70,000","53.69","2,100.00","0.030"
"03/26/2013","ADAGE CAPITAL MGMT      ","030","JWN","B","3,269","53.74","98.07","0.030"
"03/28/2013","ADAGE CAPITAL MGMT      ","030","JWN","B","14,319","54.68","429.57","0.030"
"11/13/2013","ADAGE CAPITAL MGMT      ","030","JWN","B","137,576","63.24","4,127.28","0.030"
"10/09/2013","ADAGE CAPITAL MGMT      ","030","KR","B","39,107","40.14","1,173.21","0.030"
"06/05/2013","ADAGE CAPITAL MGMT      ","030","KSS","B","50,000","51.71","1,500.00","0.030"
"11/04/2013","ADAGE CAPITAL MGMT      ","030","LTD","B","6,746","62.95","202.38","0.030"
"11/06/2013","ADAGE CAPITAL MGMT      ","030","LTD","B","36,366","62.49","1,090.98","0.030"
"05/09/2013","ADAGE CAPITAL MGMT      ","030","LTD","S","12,937","52.75","388.11","0.030"
"05/10/2013","ADAGE CAPITAL MGMT      ","030","LTD","SS","200,000","51.39","6,000.00","0.030"
"05/14/2013","ADAGE CAPITAL MGMT      ","030","LTD","SS","100,000","50.73","3,000.00","0.030"
"05/15/2013","ADAGE CAPITAL MGMT      ","030","LTD","SS","15,100","50.75","453.00","0.030"
"07/10/2013","ADAGE CAPITAL MGMT      ","030","LTD","SS","100,000","50.37","3,000.00","0.030"
"03/27/2013","ADAGE CAPITAL MGMT      ","030","LULU","B","30,100","62.02","903.00","0.030"
"07/01/2013","ADAGE CAPITAL MGMT      ","030","LULU","B","60,000","66.48","1,800.00","0.030"
"11/05/2013","ADAGE CAPITAL MGMT      ","030","LULU","B","18,140","69.31","544.20","0.030"
"08/29/2013","ADAGE CAPITAL MGMT      ","030","M","B","65,768","44.61","1,973.04","0.030"
"05/24/2013","ADAGE CAPITAL MGMT      ","030","NWSA","B","70,000","32.99","2,100.00","0.030"
"05/10/2013","ADAGE CAPITAL MGMT      ","030","PERY","B","40,160","18.12","1,204.80","0.030"
"03/25/2013","ADAGE CAPITAL MGMT      ","030","ROST","B","69,755","59.32","2,092.65","0.030"
"03/27/2013","ADAGE CAPITAL MGMT      ","030","ROST","B","3,100","59.06","93.00","0.030"
"05/22/2013","ADAGE CAPITAL MGMT      ","030","SKS","B","200,000","15.53","6,000.00","0.030"
"05/09/2013","ADAGE CAPITAL MGMT      ","030","SMG","SS","95,000","47.53","2,850.00","0.030"
"07/01/2013","ADAGE CAPITAL MGMT      ","030","SSI","S","29,736","23.63","892.08","0.030"
